DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,30,1385105,0,520981,864124
"SML02-609-E.E. PWD DIVISION,JUBBAL",Total, ,30,1385105,0,520981,864124
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,30,1385105,0,520981,864124
 , ,"[TRVch# 1 Dt:05/12/2017] , Billno-SML026090400926297",1,10000,0,0,10000
 , ,"[TRVch# 141 Dt:27/04/2018] , Billno-SML026091848782001",1,520981,0,520981,0
 , ,"[TRVch# 18 Dt:06/11/2017] , Billno-SML026090417122201",1,71497,0,0,71497
 , ,"[TRVch# 195 Dt:30/11/2017] , Billno-SML026090300141357",1,10000,0,0,10000
 , ,"[TRVch# 203 Dt:30/11/2017] , Billno-SML026090316141412",1,6969,0,0,6969
 , ,"[TRVch# 207 Dt:30/06/2017] , Billno-SML026090400926295",1,60000,0,0,60000
 , ,"[TRVch# 210 Dt:30/06/2017] , Billno-SML026090300141355",1,60000,0,0,60000
 , ,"[TRVch# 221 Dt:31/07/2017] , Billno-SML026090300141356",1,45957,0,0,45957
 , ,"[TRVch# 223 Dt:31/07/2017] , Billno-SML026090316141409",1,9665,0,0,9665
 , ,"[TRVch# 228 Dt:31/07/2017] , Billno-SML026090316141410",1,55067,0,0,55067
 , ,"[TRVch# 234 Dt:31/08/2018] , Billno-SML026090400926300",1,10000,0,0,10000
 , ,"[TRVch# 235 Dt:31/07/2018] , Billno-SML026090417122207",1,33648,0,0,33648
 , ,"[TRVch# 237 Dt:31/08/2018] , Billno-SML026090417122208",1,31059,0,0,31059
 , ,"[TRVch# 238 Dt:30/06/2018] , Billno-SML026090417122206",1,44139,0,0,44139
 , ,"[TRVch# 240 Dt:31/08/2018] , Billno-SML026090316141417",1,13325,0,0,13325
 , ,"[TRVch# 242 Dt:30/06/2018] , Billno-SML026090316141416",1,23148,0,0,23148
 , ,"[TRVch# 269 Dt:28/02/2018] , Billno-SML026090300141360",1,10000,0,0,10000
 , ,"[TRVch# 271 Dt:28/02/2018] , Billno-SML026090417122203",1,37455,0,0,37455
 , ,"[TRVch# 271 Dt:31/08/2017] , Billno-SML026090400926296",1,10000,0,0,10000
 , ,"[TRVch# 276 Dt:28/02/2018] , Billno-SML026090316141413",1,29056,0,0,29056
 , ,"[TRVch# 277 Dt:28/02/2018] , Billno-SML026090417122204",1,12237,0,0,12237
 , ,"[TRVch# 4 Dt:05/02/2018] , Billno-SML026090300141359",1,10000,0,0,10000
 , ,"[TRVch# 429 Dt:29/09/2017] , Billno-SML026090316141411",1,9028,0,0,9028
 , ,"[TRVch# 5 Dt:05/02/2018] , Billno-SML026090300141358",1,71831,0,0,71831
 , ,"[TRVch# 534 Dt:31/03/2018] , Billno-SML026090316141414",1,53633,0,0,53633
 , ,"[TRVch# 535 Dt:31/03/2018] , Billno-SML026090316141415",1,7780,0,0,7780
 , ,"[TRVch# 542 Dt:31/03/2018] , Billno-SML026090300141361",1,10000,0,0,10000
 , ,"[TRVch# 544 Dt:31/03/2018] , Billno-SML026090417122205",1,27220,0,0,27220
 , ,"[TRVch# 65 Dt:05/01/2018] , Billno-SML026090400926298",1,10000,0,0,10000
 , ,"[TRVch# 66 Dt:05/01/2018] , Billno-SML026090417122202",1,81410,0,0,81410
