DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,9,104155,0,0,104155
SMR00-824-D.F.O.RENUKAJI,Total, ,9,104155,0,0,104155
 ,00-8782-00-103-00-S00N-V-N-00- ,Total,9,104155,0,0,104155
 , ,"[TRVch# 24 Dt:15/09/2017] , Billno-SMR008241798782024",1,22150,0,0,22150
 , ,"[TRVch# 24 Dt:29/04/2017] , Billno-SMR008241748782024",1,4219,0,0,4219
 , ,"[TRVch# 25 Dt:15/09/2017] , Billno-SMR008241798782025",1,4820,0,0,4820
 , ,"[TRVch# 25 Dt:29/04/2017] , Billno-SMR008241748782025",1,25317,0,0,25317
 , ,"[TRVch# 26 Dt:15/09/2017] , Billno-SMR008241798782026",1,26816,0,0,26816
 , ,"[TRVch# 26 Dt:29/04/2017] , Billno-SMR008241748782026",1,6487,0,0,6487
 , ,"[TRVch# 27 Dt:29/04/2017] , Billno-SMR008241748782027",1,2885,0,0,2885
 , ,"[TRVch# 3 Dt:05/09/2017] , Billno-SMR008241798782003",1,2017,0,0,2017
 , ,"[TRVch# 39 Dt:22/09/2017] , Billno-SMR008241798782039",1,9444,0,0,9444
