DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
KNR03-004-AE PWD SUB DIV  MOORANG,Total, ,18,590021,0,0,590021
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 21 Dt:15/03/2018] , Billno-KNR030042017000012",1,24080,0,0,24080
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 26 Dt:30/11/2017] , Billno-KNR030042017000007",1,19530,0,0,19530
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 27 Dt:21/12/2017] , Billno-KNR030042017000008",1,18900,0,0,18900
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 44 Dt:29/09/2017] , Billno-KNR030042017000005",1,12915,0,0,12915
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 45 Dt:24/08/2017] , Billno-KNR030042017000004",1,18270,0,0,18270
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 45 Dt:31/07/2017] , Billno-KNR030042017000003",1,18900,0,0,18900
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 46 Dt:27/07/2018] , Billno-KNR030042018000003",1,10850,0,0,10850
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 47 Dt:27/07/2018] , Billno-KNR030042018000004",1,29858,0,0,29858
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 48 Dt:30/06/2017] , Billno-KNR030042017000001",1,154653,0,0,154653
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 49 Dt:30/01/2018] , Billno-KNR030042017000009",1,27876,0,0,27876
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 49 Dt:30/06/2017] , Billno-KNR030042017000002",1,98931,0,0,98931
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 54 Dt:22/02/2018] , Billno-KNR030042017000010",1,19530,0,0,19530
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 55 Dt:26/06/2018] , Billno-KNR030042018000001",1,27263,0,0,27263
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 56 Dt:26/06/2018] , Billno-KNR030042018000002",1,17955,0,0,17955
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 56 Dt:28/02/2018] , Billno-KNR030042017000011",1,10269,0,0,10269
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 58 Dt:21/08/2018] , Billno-KNR030042018000005",1,31542,0,0,31542
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 59 Dt:31/10/2017] , Billno-KNR030042017000006",1,18900,0,0,18900
KNR03-004-AE PWD SUB DIV  MOORANG,31-3054-04-796-03-S00N-V-N-02-WAGES,"[TRVch# 89 Dt:31/03/2018] , Billno-KNR030042017000013",1,29799,0,0,29799
