DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI03-685-E E GOHAR DIVISION,Total, ,21,647074,0,0,647074
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 117 Dt:31/05/2018] , Billno-MDI036850216130017",1,48159,0,0,48159
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 154 Dt:31/10/2017] , Billno-MDI036850216130009",1,6243,0,0,6243
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 167 Dt:31/08/2017] , Billno-MDI036850200153851",1,9800,0,0,9800
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 168 Dt:31/07/2018] , Billno-MDI036850216130019",1,66495,0,0,66495
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 168 Dt:31/08/2017] , Billno-MDI036850216130008",1,2852,0,0,2852
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 17 Dt:10/07/2017] , Billno-MDI036850200153848",1,9500,0,0,9500
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 170 Dt:22/09/2017] , Billno-MDI036850200153853",1,9700,0,0,9700
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 170 Dt:31/07/2017] , Billno-MDI036850200153850",1,7705,0,0,7705
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 18 Dt:10/07/2017] , Billno-MDI036850200153849",1,59271,0,0,59271
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 180 Dt:30/06/2018] , Billno-MDI036850216130018",1,47496,0,0,47496
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 201 Dt:30/12/2017] , Billno-MDI036850216130013",1,24578,0,0,24578
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 224 Dt:30/01/2018] , Billno-MDI036850216130014",1,55397,0,0,55397
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 25 Dt:08/09/2017] , Billno-MDI036850200153852",1,6263,0,0,6263
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 404 Dt:31/03/2018] , Billno-MDI036850216130016",1,191198,0,0,191198
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 66 Dt:22/05/2017] , Billno-MDI036850200153846",1,9500,0,0,9500
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 67 Dt:22/05/2017] , Billno-MDI036850216130007",1,7520,0,0,7520
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 79 Dt:24/10/2017] , Billno-MDI036850200153854",1,8228,0,0,8228
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 82 Dt:21/12/2017] , Billno-MDI036850216130011",1,18466,0,0,18466
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 83 Dt:21/12/2017] , Billno-MDI036850216130012",1,3151,0,0,3151
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 87 Dt:22/03/2018] , Billno-MDI036850216130015",1,36549,0,0,36549
MDI03-685-E E GOHAR DIVISION,00-8782-00-102-00-S00N-V-N-00- ,"[TRVch# 91 Dt:24/11/2017] , Billno-MDI036850216130010",1,19003,0,0,19003
